"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE142I01023","532890","TAKE","TAKE SOLUTIONS LTD","20.01","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE280B01018","500123","ELANTAS","ELANTAS BECK INDIA LTD","11926.2","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE089A01023","500124","DRREDDY","DRREDDYS LABORATORIES LTD","6892.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE126A01031","500125","EIDPARRY","EIDPARRY INDIA LTD","779.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE199A01012","500126","PGHL","PROCTER  GAMBLE HEALTH LIMITE","5233.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE245I01016","532895","NAGREEKCAP","NAGREEKA CAPITAL  INFRASTRUCT","27.45","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE086A01029","500128","ELECTCAST","ELECTROSTEEL CASTINGS LTD","210.35","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE752E01010","532898","POWERGRID","POWER GRID CORPORATION OF INDI","344.3","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE455I01029","532899","KSCL","KAVERI SEED COMPANY LTD","1058.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE284A01012","500133","ESABINDIA","ESAB INDIA LTD","6408.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE255A01020","500135","EPL","EPL LIMITED","222.3","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE778B01029","500136","ESTER","ESTER INDUSTRIES LTD","115.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE015L07683","958889","2EARC29","EARC222729PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE818F07062","958892","899KFC25","KFC8999725PVT","0.0","",,"0.01","4","EQUITY",,"BSE_EQ"
"BSE_EQ|INE818F07088","958893","899KFC26","KFC8999726PVT","0.0","",,"0.01","4","EQUITY",,"BSE_EQ"
"BSE_EQ|INE512A01016","500142","FGP","FGP LTD","8.37","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE160F01013","500143","PHCAP","PH CAPITAL LTD","214.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE235A01022","500144","FINCABLES","FINOLEX CABLES LTD","1562.5","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE752E08585","958897","734PGCIL34","PGCIL73415734PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE515A01019","500147","COCKERILL","JOHN COCKERILL INDIA LIMITED","5749.75","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE516A01017","500148","UFLEX","UFLEX LTD","567.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE519A01011","500150","FOSECOIND","FOSECO INDIA LTD","4720.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE973A01010","500151","GOLDENTOBC","GOLDEN TOBACCO LTD","43.01","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE388A01029","500153","GANESHBE","GANESH BENZOPLAST LTD","171.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE722H01024","532923","RGL","RENAISSANCE GLOBAL LIMITED","99.1","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE094I01018","532924","KOLTEPATIL","KOLTEPATIL DEVELOPERS LTD","409.25","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE234I01028","532925","KAUSHALYA","KAUSHALYA INFRASTRUCTURE DEVEL","1062.7","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE668F01031","532926","JYOTHYLAB","JYOTHY LABS LIMITED","549.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE085D01033","500159","METROGLOBL","METROGLOBAL LIMITED","152.65","",,"0.05","1","EQUITY",,"BSE_EQ"
