Timestamp,Open,High,Low,Close,Volume,Open Interest,AROON_Up,AROON_Dn,AROON_Sc,BOP,CCI,DC_upper,DC_middle,DC_lower,EMA,RSI,STOCH_k,STOCH_d,ICHIMOKU_a,ICHIMOKU_b,ICHIMOKU_base,ICHIMOKU_span,ICHIMOKU_CS,KAMA,BBANDS_upper,BBANDS_middle,BBANDS_lower,MACD,MACD_signal,MACD_diff,CMO,DPO,HMA,KC_upper,KC_middle,KC_lower,MOM,PPO,ROC,TRIMA,UO,WILLR,ATR,SMA,WMA,Z,AO,ERI_bull,ERI_bear,FISHER,FISHER_signal,High_next,Low_next,weekday_num,weekday_name,month_num,month_name,is_weekly_expiration,is_monthly_expiration
2024-07-31 00:00:00+05:30,51583.45,51663.1,51335.7,51553.4,0,0,,,,-0.0917837507635782,,,,,,,,,,,,,51703.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51957.75,51260.05,2,Wednesday,7,July,False,0
2024-07-30 00:00:00+05:30,51383.9,51957.75,51260.05,51499.3,0,0,,,,0.1654006019779302,,,,,,,,,,,,,51661.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52340.25,51186.95,1,Tuesday,7,July,False,0
2024-07-29 00:00:00+05:30,51546.65,52340.25,51186.95,51406.25,0,0,,,,-0.1217376224746389,,,,,,,,,,,,,51783.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51398.6,50438.3,0,Monday,7,July,False,0
2024-07-26 00:00:00+05:30,50456.1,51398.6,50438.3,51295.95,0,0,,,,0.8745704467353976,,,,,,,,,,,,,51398.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51006.1,50559.9,4,Friday,7,July,False,0
2024-07-25 00:00:00+05:30,50762.3,51006.1,50559.9,50888.75,0,0,,,,0.2833930972657954,,,,,,,,,,,,,50440.9,,51802.21665282139,51328.73,50855.2433471786,,,,,,,,,,,,,,,,,,,,,,,,,51944.65,50784.25,3,Thursday,7,July,True,0
2024-07-24 00:00:00+05:30,51657.65,51944.65,50784.25,51317.0,0,0,,,,-0.2935625646328861,,,,,,,,,,,,,50002.0,,51699.752287825446,51281.45,50863.14771217455,,,,,,,,,,,,,,,,,,,,,,,,,52547.55,51342.65,2,Wednesday,7,July,False,0
2024-07-23 00:00:00+05:30,52511.0,52547.55,51342.65,51778.3,0,0,,,,-0.608100257282759,,,,,,,,,,,,,49846.7,,51904.73857609648,51337.25,50769.761423903525,,,,,,,,,,,,,,,,,,,,,,,,,52427.0,51874.55,1,Tuesday,7,July,False,0
2024-07-22 00:00:00+05:30,52145.6,52427.0,51874.55,52280.4,0,0,,,,0.2440039822608446,,,,,,,,,,,,,49895.1,,52464.75933031005,51512.08,50559.40066968995,,,,,,,,,,,,,,,,,,,,,,,,,52586.75,52146.3,0,Monday,7,July,False,0
2024-07-19 00:00:00+05:30,52531.55,52586.75,52146.3,52265.6,0,0,,,,-0.6038142808491455,,,,,,,,,,,51512.525,,49705.75,,52789.53512550471,51706.01,50622.48487449529,,,,,148.34500000000116,,,,,,,,,,,,,,,,,,0.0,,52782.75,52168.65,4,Friday,7,July,False,0
2024-07-18 00:00:00+05:30,52215.05,52782.75,52168.65,52620.7,0,0,,,,0.6605601693535176,,,,,51690.565,,,,,,51610.525,,49780.9,0.0,52962.937028351946,52052.4,51141.86297164806,,,,,472.7099999999919,,,,,,,,,,,,51690.565,51883.43636363636,,,,,0.3428282544153939,0.0,52619.05,52331.6,3,Thursday,7,July,True,0
2024-07-16 00:00:00+05:30,52466.7,52619.05,52331.6,52396.8,0,0,,,,-0.2431727256914006,,,,,51818.97136363637,,,,,,51610.525,,49803.2,3437.950982684425,52820.41194828023,52268.36,51716.308051719774,,,,,195.03750000000585,,,,,843.4000000000015,,1.6359735730330132,51631.9,,,,51774.905,52011.84272727273,,,,,0.7911639029475765,0.3428282544153939,52662.25,52154.0,1,Tuesday,7,July,False,0
2024-07-15 00:00:00+05:30,52330.05,52662.25,52154.0,52455.9,0,0,,,,0.2476143630103267,,,,,51934.77657024793,,,,,,51610.525,,49291.9,7321.238814705899,52663.319068761804,52403.88,52144.44093123819,,,,,207.33750000000143,52718.92303030301,,,,956.5999999999984,,1.857500975741415,51794.040277777785,,,,51870.565,52135.66,,,,,1.2114065850496334,0.7911639029475765,52794.55,52171.15,0,Monday,7,July,False,0
2024-07-12 00:00:00+05:30,52272.65,52794.55,52171.15,52278.9,0,0,,,,0.0100256657042027,,,,,51997.34446656649,,,,,,51677.225000000006,,49054.6,10275.848849503584,52663.59235047589,52403.58,52143.56764952411,,,,,-45.43000000000029,52657.4104040404,,,,872.6500000000015,,1.6975562310030423,51963.83888888889,,,,51957.83,52209.902727272725,,,945.5307692307616,322.13076923076005,1.6530428958681271,1.2114065850496334,52400.3,51749.45,4,Friday,7,July,False,0
2024-07-11 00:00:00+05:30,52316.9,52400.3,51749.45,52270.65,0,0,,,,-0.0710609203349459,36.49288862465836,,,,52047.036381736216,,,,,,51789.4,,46928.6,13736.986291774552,52662.481189457874,52404.59,52146.69881054213,,,,,-152.76749999999447,52532.34287878787,,,,974.7000000000044,,1.9001500118430488,52111.66944444445,,-22.234482758620757,,52055.3,52266.77909090909,,,491.0478021977906,-159.80219780221523,1.5392069074520849,1.6530428958681271,52528.8,52075.4,3,Thursday,7,July,True,0
2024-07-10 00:00:00+05:30,52528.8,52528.8,52075.4,52189.3,0,0,85.71428571428572,21.42857142857143,85.71428571428572,-0.748786943096601,47.17210445272385,,,,52072.90249414781,59.711276254202296,,,,,52068.600000000006,,50979.95,19993.25603820073,52509.22336674,52318.310000000005,52127.39663326001,,,,19.42255250840459,-298.56750000000466,52373.63848484849,,,,1300.550000000003,,2.5556729139544654,52233.50972222223,,-25.687002652519897,675.3525065785918,52185.355,52291.14272727273,,,579.5409733123888,126.14097331238736,1.3438059059939078,1.5392069074520849,52626.6,52292.95,2,Wednesday,7,July,False,0
2024-07-09 00:00:00+05:30,52390.5,52626.6,52292.95,52568.8,0,0,78.57142857142857,14.28571428571429,78.57142857142857,0.5343923272890818,71.40466712144436,,,,52163.06567703003,67.21557489821242,80.83253757736514,,,,52272.0,,48983.95,25145.31130741529,52630.16652199939,52352.71,52075.25347800061,,,,34.43114979642483,84.65000000000146,52342.06368686869,,,,1251.800000000003,,2.4393475846210864,52317.10972222222,,-9.580901856763925,650.0106282365002,52310.535,52360.86000000001,,,588.835119982039,255.1851199820376,1.4301183043980608,1.3438059059939078,52710.8,52246.7,1,Tuesday,7,July,False,0
2024-07-08 00:00:00+05:30,52533.1,52710.8,52246.7,52425.8,0,0,71.42857142857143,7.14285714285714,71.42857142857143,-0.2312001723766306,60.244275684515344,,,,52210.835553933655,62.4921096383748,83.02740937223695,,,,52272.0,,48682.35,27062.063822112897,52616.11965241413,52346.69,52077.26034758587,,,,24.9842192767496,-27.402499999996508,52360.39202020203,,,,647.5,,1.2505238681069095,52359.625,,-15.6498673740053,630.889266201889,52375.285,52381.81727272728,,,617.6015314131728,153.50153141316696,1.6930243345715663,1.4301183043980608,52817.85,52290.05,0,Monday,7,July,False,0
