Timestamp,Open,High,Low,Close,Volume,Open Interest,AROON_Up,AROON_Dn,AROON_Sc,BOP,CCI,DC_upper,DC_middle,DC_lower,EMA,RSI,STOCH_k,STOCH_d,ICHIMOKU_a,ICHIMOKU_b,ICHIMOKU_base,ICHIMOKU_span,ICHIMOKU_CS,KAMA,BBANDS_upper,BBANDS_middle,BBANDS_lower,MACD,MACD_signal,MACD_diff,CMO,DPO,HMA,KC_upper,KC_middle,KC_lower,MOM,PPO,ROC,TRIMA,UO,WILLR,ATR,SMA,WMA,Z,AO,ERI_bull,ERI_bear,FISHER,FISHER_signal,High_next,Low_next,weekday_num,weekday_name,month_num,month_name,is_weekly_expiration,is_monthly_expiration
2024-08-01 15:15:00+05:30,51571.3,51639.15,51570.15,51603.5,0,0,,,,0.4666666666666245,,,,,,,,,,,,,51435.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51591.75,51456.2,3,Thursday,8,August,True,0
2024-08-01 14:45:00+05:30,51573.35,51591.75,51456.2,51571.65,0,0,,,,-0.012541497602339,,,,,,,,,,,,,51462.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51595.8,51457.8,3,Thursday,8,August,True,0
2024-08-01 14:15:00+05:30,51568.55,51595.8,51457.8,51574.3,0,0,,,,0.0416666666666666,,,,,,,,,,,,,51875.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51696.3,51565.7,3,Thursday,8,August,True,0
2024-08-01 13:45:00+05:30,51656.2,51696.3,51565.7,51569.1,0,0,,,,-0.6669218989279836,,,,,,,,,,,,,51795.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51721.3,51652.5,3,Thursday,8,August,True,0
2024-08-01 13:15:00+05:30,51694.4,51721.3,51652.5,51656.45,0,0,,,,-0.5515988372093424,,,,,,,,,,,,,51814.05,,51661.28951651656,51595.0,51528.71048348344,,,,,,,,,,,,,,,,,,,,,,,,,51706.75,51591.8,3,Thursday,8,August,True,0
2024-08-01 12:45:00+05:30,51630.25,51706.75,51591.8,51694.15,0,0,,,,0.5558938668986784,,,,,,,,,,,,,51802.6,,51717.46738735468,51613.13,51508.79261264532,,,,,,,,,,,,,,,,,,,,,,,,,51723.3,51580.85,3,Thursday,8,August,True,0
2024-08-01 12:15:00+05:30,51706.65,51723.3,51580.85,51628.65,0,0,,,,-0.5475605475605307,,,,,,,,,,,,,51706.5,,51720.35627197174,51624.530000000006,51528.70372802828,,,,,,,,,,,,,,,,,,,,,,,,,51755.4,51685.7,3,Thursday,8,August,True,0
2024-08-01 11:45:00+05:30,51705.05,51755.4,51685.7,51711.0,0,0,,,,0.0853658536584894,,,,,,,,,,,,,51689.15,,51752.64687433137,51651.87,51551.09312566862,,,,,,,,,,,,,,,,,,,,,,,,,51765.4,51695.0,3,Thursday,8,August,True,0
2024-08-01 11:15:00+05:30,51749.6,51765.4,51695.0,51704.35,0,0,,,,-0.6427556818181686,,,,,,,,,,,51610.8,,51758.1,,51741.78326749384,51678.92,51616.05673250616,,,,,100.06999999999972,,,,,,,,,,,,,,,,,,0.0,,51779.25,51667.6,3,Thursday,8,August,True,0
2024-08-01 10:45:00+05:30,51728.25,51779.25,51667.6,51750.3,0,0,,,,0.1974921630094278,,,,,51646.345,,,,,,51617.725,,51645.1,0.0,51776.523378717415,51697.69,51618.85662128259,,,,,152.40000000000146,,,,,,,,,,,,51646.345,51674.98090909091,,,,,0.3186849604678442,0.0,51766.6,51688.8,3,Thursday,8,August,True,0
2024-08-01 10:15:00+05:30,51688.8,51766.6,51688.8,51728.75,0,0,,,,0.5134961439588603,,,,,51661.32772727272,,,,,,51618.525,,51667.6,3484.0755372381063,51786.98056270297,51704.61,51622.23943729703,,,,,134.7725000000064,,,,,125.25,,0.2427160948385284,51653.41388888889,,,,51658.87,51689.96363636364,,,,,0.7473492547306382,0.3186849604678442,51814.75,51646.05,3,Thursday,8,August,True,0
2024-08-01 09:45:00+05:30,51782.2,51814.75,51646.05,51692.55,0,0,,,,-0.5314167160639937,,,,,51667.00450413222,,,,,,51690.225,,51470.1,6512.981353846515,51757.78818807822,51717.39,51676.99181192178,,,,,99.43000000000028,51743.15388888889,,,,120.90000000000146,,0.2344311264037537,51668.59305555556,,,,51670.96,51696.08727272727,,,,,1.2103959759531573,0.7473492547306382,51877.15,51652.45,3,Thursday,8,August,True,0
2024-08-01 09:15:00+05:30,51672.6,51877.15,51652.45,51787.75,0,0,,,,0.5124610591900277,,,,,51688.95823065363,,,,,,51729.0,,51588.25,11451.300094894246,51800.69058204316,51732.740000000005,51664.78941795685,,,,,193.4800000000032,51752.222727272725,,,,213.4499999999971,,0.4138689230876562,51687.49305555556,,,,51692.305,51717.32181818182,,,210.0346153846185,-14.665384615385848,1.6721917807889248,1.2103959759531573,51663.1,51542.65,3,Thursday,8,August,True,0
2024-07-31 15:15:00+05:30,51549.0,51663.1,51542.65,51620.8,0,0,,,,0.5960979659610183,-59.05499086086212,,,,51676.56582508024,,,,,,51709.9,,51388.4,11961.97200430037,51829.52027447321,51716.030000000006,51602.5397255268,,,,,29.01000000000204,51727.60661616161,,,,51.700000000004366,,0.1002538341759006,51700.01666666667,,-60.8979688799135,,51697.475,51704.32090909091,,,2.60109890109743,-117.84890109889966,1.036931639944974,1.6721917807889248,51583.45,51436.45,2,Wednesday,7,July,False,0
2024-07-31 14:45:00+05:30,51460.45,51583.45,51436.45,51547.45,0,0,85.71428571428572,100.0,85.71428571428572,0.5918367346938775,-132.5383590176406,,,,51653.090220520186,40.65387295632844,,,,,51656.8,,51311.85,13085.448985825458,51843.067188390014,51675.46,51507.852811609984,,,,-18.692254087343123,-33.25500000000466,51668.78868686869,,,,-109.0,,-0.2110094673559642,51704.569444444445,,-74.81279782164762,152.36261370664104,51686.575,51677.04363636364,,,-60.89905808477488,-207.89905808477488,0.3186269252589506,1.036931639944974,51504.55,51363.4,2,Wednesday,7,July,False,0
2024-07-31 14:15:00+05:30,51385.65,51504.55,51363.4,51459.1,0,0,78.57142857142857,100.0,78.57142857142857,0.520368402408759,-183.0239533517857,,,,51617.81927133469,34.68783599957827,27.638990174905228,,,,51620.275,,51481.8,15925.131315741655,51848.76523142332,51621.53,51394.29476857668,,,,-30.624328000843462,-111.96999999999387,51578.70747474747,,,,-235.0500000000029,,-0.4546936162022258,51696.00000000001,,-81.3722627737232,155.73589424867947,51663.06999999999,51635.68454545455,,,-113.33490692979832,-254.48490692979976,-0.3407126913540677,0.3186269252589506,51470.35,51335.7,2,Wednesday,7,July,False,0
2024-07-31 13:45:00+05:30,51424.25,51470.35,51335.7,51385.7,0,0,71.42857142857143,100.0,71.42857142857143,-0.2862978091348124,-183.28988100747057,,,,51575.61576745565,30.661978668501217,17.683134140201574,,,,51606.425,,51345.35,18637.14373247701,51837.699729768574,51560.16,51282.62027023142,,,,-38.67604266299757,-172.9375,51476.83439393939,,,,-242.9500000000044,,-0.4705720564066741,51675.89305555556,,-90.76553698402444,153.56715854175903,51638.775,51585.25363636364,,,-114.3656345112613,-249.0156345112628,-0.927907500132456,-0.3407126913540677,51541.25,51348.75,2,Wednesday,7,July,False,0
2024-07-31 13:15:00+05:30,51491.05,51541.25,51348.75,51426.65,0,0,64.28571428571428,92.85714285714286,64.28571428571428,-0.3345454545454621,-120.95994013735935,,,,51548.53108246371,35.18179417804136,14.886562822770893,20.069562379292567,,,51606.425,,51677.45,22176.023620677843,51658.19732759566,51487.94,51317.68267240434,,,,-29.63641164391728,-140.5474999999933,51398.87196969697,,,,-284.34999999999854,,-0.5498830036162491,51648.444444444445,,-83.20251177393968,157.4494982067769,51610.34,51546.685454545455,,,-20.88482958108216,-213.38482958108216,-1.2967545237240827,-0.927907500132456,51579.8,51460.3,2,Wednesday,7,July,False,0
2024-07-31 12:45:00+05:30,51469.5,51579.8,51460.3,51498.05,0,0,57.14285714285714,85.71428571428572,57.14285714285714,0.2389121338912377,-62.28367477638757,,,,51539.35270383394,42.25030529787465,18.67208421830318,17.080593727091884,,,51606.425,,51516.85,23846.29913468541,51575.3591636122,51463.39,51351.4208363878,,,,-15.499389404250705,-71.40750000000116,51377.839141414144,,,,-206.29999999999563,,-0.3989993105028796,51608.52916666667,,-70.01569858712632,157.03255255044016,51589.71,51526.26909090909,,,26.820146073361684,-92.67985392663832,-1.3009977407405455,-1.2967545237240827,51498.35,51444.9,2,Wednesday,7,July,False,0
2024-07-31 12:15:00+05:30,51475.6,51498.35,51444.9,51475.35,0,0,50.0,78.57142857142857,50.0,-0.0046772684752107,-73.00544589463013,51877.15,51606.425,51335.7,51527.7158485914,40.72957179787557,24.19121494751799,19.249953996197352,,,51606.425,,51687.15,26407.106619293638,51527.49970393435,51448.97,51370.44029606565,,,,-18.540856404248853,-98.37250000000496,51392.86787878789,51894.04315789475,51604.280000000006,51314.51684210527,-274.9500000000044,,-0.5313012678187456,51567.07916666667,,-74.20814479638003,147.23781541793616,51562.215,51505.47636363636,,,-43.539874794267234,-96.98987479426432,-1.3267080478598865,-1.3009977407405455,51511.95,51448.05,2,Wednesday,7,July,False,0
2024-07-31 11:45:00+05:30,51488.3,51511.95,51448.05,51475.9,0,0,42.85714285714286,71.42857142857143,42.85714285714286,-0.1940532081377556,-60.10634717641887,51877.15,51606.425,51335.7,51518.29478521114,40.78518464846621,27.223196971096627,23.362165378972595,,,51606.425,,51833.8,28545.79077401141,51533.692413926925,51452.33,51370.96758607308,,,,-18.429630703067573,-103.32499999999708,51423.80611111113,51866.39142857144,51592.05333333334,51317.71523809524,-252.84999999999852,,-0.4887997486890724,51528.0,,-74.10656570320377,139.53557658195064,51536.93,51489.78272727272,,,-20.51274982366158,-84.41274982365576,-1.3322218990544092,-1.3267080478598865,51571.85,51400.1,2,Wednesday,7,July,False,0
2024-07-31 11:15:00+05:30,51555.45,51571.85,51400.1,51493.2,0,0,35.71428571428571,64.28571428571428,35.71428571428571,-0.3624454148471616,-47.641840141584126,51877.15,51606.425,51335.7,51513.73209699093,42.60927725403548,26.92461600024639,26.113009306287,,,51499.4,,52229.6,29970.250166545055,51524.38177939513,51473.83,51423.27822060487,,,,-14.781445491929054,-81.96250000000146,51457.41489898992,51863.56367346939,51582.63873015873,51301.71378684807,-199.35000000000585,,-0.3856455137152371,51497.95694444445,,-70.91144149967703,142.45167602488726,51516.995,51481.83181818182,,,44.99621443686192,-126.75378556313808,-1.147676811249382,-1.3322218990544092,51612.7,51523.2,2,Wednesday,7,July,False,0
2024-07-31 10:45:00+05:30,51591.8,51612.7,51523.2,51557.15,0,0,28.57142857142857,57.14285714285714,28.57142857142857,-0.3871508379888431,1.0474638004112853,51877.15,51606.425,51335.7,51521.6262611744,48.87831381390561,31.9604764982919,28.70276315654497,,,51474.2,,52130.35,31771.654517697472,51559.96047892539,51499.93,51439.89952107461,,,,-2.2433723721887797,-21.43000000000029,51498.87813131313,51857.14332361516,51580.21123204837,51303.27914048159,-230.59999999999852,,-0.4452790476512274,51482.20555555556,,-59.10056330224349,140.41297958654192,51493.935,51489.13272727272,,,81.51818380301847,-7.9818161969815264,-0.5436520828188249,-1.147676811249382,51661.85,51530.2,2,Wednesday,7,July,False,0
