Timestamp,Open,High,Low,Close,Volume,Open Interest,AROON_Up,AROON_Dn,AROON_Sc,BOP,CCI,DC_upper,DC_middle,DC_lower,EMA,RSI,STOCH_k,STOCH_d,ICHIMOKU_a,ICHIMOKU_b,ICHIMOKU_base,ICHIMOKU_span,ICHIMOKU_CS,KAMA,BBANDS_upper,BBANDS_middle,BBANDS_lower,MACD,MACD_signal,MACD_diff,CMO,DPO,HMA,KC_upper,KC_middle,KC_lower,MOM,PPO,ROC,TRIMA,UO,WILLR,ATR,SMA,WMA,Z,AO,ERI_bull,ERI_bear,FISHER,FISHER_signal,High_next,Low_next
2024-07-31 00:00:00+05:30,51583.45,51663.1,51335.7,51553.4,0,0,,,,-0.0917837507635782,,,,,,,,,,,,,51703.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51957.75,51260.05
2024-07-30 00:00:00+05:30,51383.9,51957.75,51260.05,51499.3,0,0,,,,0.16540060197793024,,,,,,,,,,,,,51661.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52340.25,51186.95
2024-07-29 00:00:00+05:30,51546.65,52340.25,51186.95,51406.25,0,0,,,,-0.12173762247463896,,,,,,,,,,,,,51783.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51398.6,50438.3
2024-07-26 00:00:00+05:30,50456.1,51398.6,50438.3,51295.95,0,0,,,,0.8745704467353976,,,,,,,,,,,,,51398.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51006.1,50559.9
2024-07-25 00:00:00+05:30,50762.3,51006.1,50559.9,50888.75,0,0,,,,0.2833930972657954,,,,,,,,,,,,,50440.9,,51802.21665282139,51328.729999999996,50855.2433471786,,,,,,,,,,,,,,,,,,,,,,,,,51944.65,50784.25
2024-07-24 00:00:00+05:30,51657.65,51944.65,50784.25,51317.0,0,0,,,,-0.2935625646328861,,,,,,,,,,,,,50002.0,,51699.752287825446,51281.45,50863.14771217455,,,,,,,,,,,,,,,,,,,,,,,,,52547.55,51342.65
2024-07-23 00:00:00+05:30,52511.0,52547.55,51342.65,51778.3,0,0,,,,-0.608100257282759,,,,,,,,,,,,,49846.7,,51904.738576096475,51337.25,50769.761423903525,,,,,,,,,,,,,,,,,,,,,,,,,52427.0,51874.55
2024-07-22 00:00:00+05:30,52145.6,52427.0,51874.55,52280.4,0,0,,,,0.24400398226084463,,,,,,,,,,,,,49895.1,,52464.75933031005,51512.08,50559.40066968995,,,,,,,,,,,,,,,,,,,,,,,,,52586.75,52146.3
2024-07-19 00:00:00+05:30,52531.55,52586.75,52146.3,52265.6,0,0,,,,-0.6038142808491455,,,,,,,,,,,51512.525,,49705.75,,52789.53512550471,51706.01,50622.48487449529,,,,,148.34500000000116,,,,,,,,,,,,,,,,,,0.0,,52782.75,52168.65
2024-07-18 00:00:00+05:30,52215.05,52782.75,52168.65,52620.7,0,0,,,,0.6605601693535176,,,,,51690.565,,,,,,51610.525,,49780.9,0.0,52962.937028351946,52052.4,51141.86297164806,,,,,472.70999999999185,,,,,,,,,,,,51690.565,51883.43636363636,,,,,0.34282825441539394,0.0,52619.05,52331.6
2024-07-16 00:00:00+05:30,52466.7,52619.05,52331.6,52396.8,0,0,,,,-0.24317272569140067,,,,,51818.97136363637,,,,,,51610.525,,49803.2,3437.950982684425,52820.41194828023,52268.36,51716.308051719774,,,,,195.03750000000582,,,,,843.4000000000015,,1.6359735730330132,51631.9,,,,51774.905,52011.84272727273,,,,,0.7911639029475765,0.34282825441539394,52662.25,52154.0
2024-07-15 00:00:00+05:30,52330.05,52662.25,52154.0,52455.9,0,0,,,,0.2476143630103267,,,,,51934.77657024793,,,,,,51610.525,,49291.9,7321.238814705899,52663.319068761804,52403.88,52144.44093123819,,,,,207.33750000000146,52718.92303030301,,,,956.5999999999985,,1.857500975741415,51794.040277777785,,,,51870.565,52135.66,,,,,1.2114065850496334,0.7911639029475765,52794.55,52171.15
