Timestamp,Open,High,Low,Close,Volume,Open Interest
2024-07-26 15:29:00+05:30,24844.75,24861.15,24843.4,24851.75,0,0
2024-07-26 15:28:00+05:30,24840.35,24846.4,24835.9,24843.55,0,0
2024-07-26 15:27:00+05:30,24835.35,24844.1,24834.6,24839.9,0,0
2024-07-26 15:26:00+05:30,24832.05,24837.7,24830.4,24836.25,0,0
2024-07-26 15:25:00+05:30,24836.45,24837.45,24831.6,24831.6,0,0
2024-07-26 15:24:00+05:30,24837.2,24839.2,24834.05,24835.0,0,0
2024-07-26 15:23:00+05:30,24839.6,24843.7,24837.6,24837.95,0,0
2024-07-26 15:22:00+05:30,24841.7,24842.65,24836.3,24839.65,0,0
2024-07-26 15:21:00+05:30,24837.5,24846.25,24832.05,24841.75,0,0
2024-07-26 15:20:00+05:30,24834.25,24843.0,24833.1,24837.25,0,0
2024-07-26 15:19:00+05:30,24834.95,24841.5,24834.45,24836.85,0,0
2024-07-26 15:18:00+05:30,24831.05,24838.85,24830.75,24835.5,0,0
2024-07-26 15:17:00+05:30,24839.25,24840.1,24831.3,24831.3,0,0
2024-07-26 15:16:00+05:30,24846.55,24848.55,24837.7,24838.85,0,0
2024-07-26 15:15:00+05:30,24848.0,24849.25,24841.4,24848.0,0,0
2024-07-26 15:14:00+05:30,24839.5,24850.3,24838.75,24849.05,0,0
2024-07-26 15:13:00+05:30,24841.7,24842.35,24836.7,24839.25,0,0
2024-07-26 15:12:00+05:30,24834.3,24853.1,24834.3,24842.55,0,0
2024-07-26 15:11:00+05:30,24821.8,24834.1,24819.3,24834.1,0,0
2024-07-26 15:10:00+05:30,24820.1,24825.5,24819.55,24821.8,0,0
2024-07-26 15:09:00+05:30,24824.25,24825.55,24816.6,24820.35,0,0
2024-07-26 15:08:00+05:30,24818.05,24830.0,24818.05,24824.65,0,0
2024-07-26 15:07:00+05:30,24820.15,24822.0,24810.75,24818.65,0,0
2024-07-26 15:06:00+05:30,24826.35,24827.15,24818.45,24821.35,0,0
2024-07-26 15:05:00+05:30,24827.65,24828.7,24822.5,24827.9,0,0
2024-07-26 15:04:00+05:30,24832.8,24835.6,24826.1,24828.4,0,0
2024-07-26 15:03:00+05:30,24839.9,24843.85,24829.95,24833.7,0,0
2024-07-26 15:02:00+05:30,24823.05,24841.7,24819.3,24841.0,0,0
2024-07-26 15:01:00+05:30,24835.3,24838.5,24816.6,24823.3,0,0
2024-07-26 15:00:00+05:30,24827.1,24841.1,24826.35,24836.9,0,0
2024-07-26 14:59:00+05:30,24819.45,24834.15,24819.15,24828.35,0,0
2024-07-26 14:58:00+05:30,24815.65,24823.05,24813.1,24819.6,0,0
2024-07-26 14:57:00+05:30,24813.35,24817.55,24810.25,24816.5,0,0
2024-07-26 14:56:00+05:30,24808.85,24817.0,24805.45,24815.1,0,0
2024-07-26 14:55:00+05:30,24814.15,24815.85,24804.25,24808.9,0,0
2024-07-26 14:54:00+05:30,24817.25,24819.9,24811.55,24815.2,0,0
2024-07-26 14:53:00+05:30,24820.6,24822.75,24813.2,24817.75,0,0
2024-07-26 14:52:00+05:30,24810.55,24822.7,24809.3,24821.05,0,0
2024-07-26 14:51:00+05:30,24811.8,24815.8,24809.05,24813.0,0,0
2024-07-26 14:50:00+05:30,24808.15,24815.3,24804.15,24813.5,0,0
2024-07-26 14:49:00+05:30,24815.0,24817.25,24807.15,24808.65,0,0
2024-07-26 14:48:00+05:30,24810.25,24814.9,24807.2,24814.9,0,0
2024-07-26 14:47:00+05:30,24805.8,24811.0,24801.2,24810.95,0,0
2024-07-26 14:46:00+05:30,24806.5,24809.65,24802.95,24806.25,0,0
2024-07-26 14:45:00+05:30,24800.25,24807.85,24797.0,24806.8,0,0
2024-07-26 14:44:00+05:30,24795.4,24802.05,24791.5,24801.45,0,0
2024-07-26 14:43:00+05:30,24781.65,24796.95,24781.55,24795.55,0,0
2024-07-26 14:42:00+05:30,24790.65,24791.85,24778.6,24782.45,0,0
2024-07-26 14:41:00+05:30,24795.65,24798.7,24788.4,24791.55,0,0
2024-07-26 14:40:00+05:30,24798.4,24798.65,24792.55,24796.35,0,0
2024-07-26 14:39:00+05:30,24798.1,24803.2,24796.8,24798.8,0,0
2024-07-26 14:38:00+05:30,24796.3,24800.45,24794.9,24798.2,0,0
2024-07-26 14:37:00+05:30,24794.95,24797.9,24792.95,24796.8,0,0
2024-07-26 14:36:00+05:30,24798.9,24800.7,24791.45,24795.9,0,0
2024-07-26 14:35:00+05:30,24799.35,24808.4,24792.75,24797.85,0,0
2024-07-26 14:34:00+05:30,24787.9,24802.15,24786.8,24801.0,0,0
2024-07-26 14:33:00+05:30,24792.55,24793.3,24787.05,24788.5,0,0
2024-07-26 14:32:00+05:30,24789.1,24794.1,24786.95,24794.1,0,0
2024-07-26 14:31:00+05:30,24786.55,24793.75,24786.45,24790.0,0,0
2024-07-26 14:30:00+05:30,24783.25,24788.8,24782.35,24787.2,0,0
2024-07-26 14:29:00+05:30,24785.1,24787.85,24780.0,24783.6,0,0
2024-07-26 14:28:00+05:30,24782.55,24785.55,24778.85,24785.55,0,0
2024-07-26 14:27:00+05:30,24778.45,24787.2,24778.1,24783.25,0,0
2024-07-26 14:26:00+05:30,24773.75,24778.8,24770.95,24778.8,0,0
2024-07-26 14:25:00+05:30,24763.05,24774.35,24761.9,24774.35,0,0
2024-07-26 14:24:00+05:30,24770.8,24775.0,24759.45,24761.95,0,0
2024-07-26 14:23:00+05:30,24778.6,24778.6,24770.05,24771.6,0,0
2024-07-26 14:22:00+05:30,24785.35,24787.9,24777.75,24779.2,0,0
2024-07-26 14:21:00+05:30,24795.25,24798.0,24782.9,24784.85,0,0
2024-07-26 14:20:00+05:30,24790.85,24795.9,24790.25,24795.7,0,0
2024-07-26 14:19:00+05:30,24786.05,24795.4,24786.05,24791.3,0,0
2024-07-26 14:18:00+05:30,24788.9,24789.9,24782.95,24786.85,0,0
2024-07-26 14:17:00+05:30,24796.15,24802.05,24786.85,24789.25,0,0
2024-07-26 14:16:00+05:30,24800.1,24805.35,24794.9,24796.65,0,0
2024-07-26 14:15:00+05:30,24797.75,24807.2,24797.35,24801.0,0,0
2024-07-26 14:14:00+05:30,24798.8,24799.6,24793.35,24797.8,0,0
2024-07-26 14:13:00+05:30,24790.6,24800.15,24790.3,24800.15,0,0
2024-07-26 14:12:00+05:30,24792.25,24793.5,24786.7,24791.3,0,0
2024-07-26 14:11:00+05:30,24791.8,24794.05,24786.35,24791.85,0,0
2024-07-26 14:10:00+05:30,24788.85,24794.9,24787.45,24792.35,0,0
2024-07-26 14:09:00+05:30,24784.3,24788.45,24783.4,24788.45,0,0
2024-07-26 14:08:00+05:30,24786.35,24789.05,24779.65,24784.45,0,0
2024-07-26 14:07:00+05:30,24792.45,24794.55,24783.95,24786.7,0,0
2024-07-26 14:06:00+05:30,24786.1,24794.8,24785.85,24791.75,0,0
2024-07-26 14:05:00+05:30,24775.3,24787.0,24774.6,24786.65,0,0
2024-07-26 14:04:00+05:30,24774.85,24779.05,24766.25,24775.8,0,0
2024-07-26 14:03:00+05:30,24782.45,24784.9,24773.35,24775.55,0,0
2024-07-26 14:02:00+05:30,24777.5,24787.85,24777.5,24783.1,0,0
2024-07-26 14:01:00+05:30,24774.55,24787.1,24774.05,24777.95,0,0
2024-07-26 14:00:00+05:30,24787.35,24789.7,24772.65,24775.25,0,0
2024-07-26 13:59:00+05:30,24767.45,24790.55,24767.45,24790.1,0,0
2024-07-26 13:58:00+05:30,24769.1,24772.95,24758.35,24768.25,0,0
2024-07-26 13:57:00+05:30,24787.35,24787.35,24764.0,24771.0,0,0
2024-07-26 13:56:00+05:30,24806.15,24807.5,24783.4,24786.95,0,0
2024-07-26 13:55:00+05:30,24810.1,24810.8,24802.5,24806.7,0,0
2024-07-26 13:54:00+05:30,24807.35,24811.85,24804.35,24809.35,0,0
2024-07-26 13:53:00+05:30,24807.75,24809.0,24804.0,24808.4,0,0
2024-07-26 13:52:00+05:30,24814.7,24814.7,24805.85,24808.3,0,0
2024-07-26 13:51:00+05:30,24810.5,24815.55,24809.6,24815.05,0,0
2024-07-26 13:50:00+05:30,24810.95,24811.9,24806.4,24810.5,0,0
2024-07-26 13:49:00+05:30,24811.9,24818.25,24808.05,24810.2,0,0
2024-07-26 13:48:00+05:30,24807.2,24814.05,24804.45,24811.9,0,0
2024-07-26 13:47:00+05:30,24806.65,24808.45,24804.3,24807.15,0,0
2024-07-26 13:46:00+05:30,24801.8,24807.5,24799.7,24806.9,0,0
2024-07-26 13:45:00+05:30,24794.45,24802.95,24791.55,24802.1,0,0
2024-07-26 13:44:00+05:30,24796.05,24797.85,24793.3,24795.55,0,0
2024-07-26 13:43:00+05:30,24795.75,24799.5,24792.05,24795.75,0,0
2024-07-26 13:42:00+05:30,24796.1,24800.85,24793.45,24796.35,0,0
2024-07-26 13:41:00+05:30,24805.75,24806.8,24794.2,24796.65,0,0
2024-07-26 13:40:00+05:30,24809.95,24812.05,24804.15,24806.9,0,0
2024-07-26 13:39:00+05:30,24811.05,24814.25,24807.85,24810.75,0,0
2024-07-26 13:38:00+05:30,24805.9,24811.35,24803.9,24810.4,0,0
2024-07-26 13:37:00+05:30,24793.1,24806.7,24791.1,24804.75,0,0
2024-07-26 13:36:00+05:30,24789.4,24793.7,24788.55,24793.7,0,0
2024-07-26 13:35:00+05:30,24786.8,24789.75,24783.9,24789.1,0,0
2024-07-26 13:34:00+05:30,24788.7,24790.25,24782.85,24787.6,0,0
2024-07-26 13:33:00+05:30,24788.2,24790.7,24787.3,24789.1,0,0
2024-07-26 13:32:00+05:30,24779.55,24788.25,24779.05,24787.85,0,0
2024-07-26 13:31:00+05:30,24788.2,24790.7,24776.55,24779.1,0,0
2024-07-26 13:30:00+05:30,24781.8,24791.9,24781.8,24789.85,0,0
2024-07-26 13:29:00+05:30,24786.8,24791.25,24782.25,24783.75,0,0
2024-07-26 13:28:00+05:30,24786.35,24789.25,24781.55,24787.85,0,0
2024-07-26 13:27:00+05:30,24795.7,24798.3,24784.2,24786.2,0,0
