Timestamp,Open,High,Low,Close,Volume,Open Interest,AROON_Up,AROON_Dn,AROON_Sc,BOP,CCI,DC_upper,DC_middle,DC_lower,EMA,RSI,STOCH_k,STOCH_d,ICHIMOKU_a,ICHIMOKU_b,ICHIMOKU_base,ICHIMOKU_span,ICHIMOKU_CS,KAMA,BBANDS_upper,BBANDS_middle,BBANDS_lower,MACD,MACD_signal,MACD_diff,CMO,DPO,HMA,KC_upper,KC_middle,KC_lower,MOM,PPO,ROC,TRIMA,UO,WILLR,ATR,SMA,WMA,Z,AO,ERI_bull,ERI_bear,FISHER,FISHER_signal,High_next,Low_next
2024-07-26 00:00:00+05:30,24423.35,24861.15,24410.9,24834.85,0,0,,,,0.9139367018323153,,,,,,,,,,,,,23516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24426.15,24210.8
2024-07-25 00:00:00+05:30,24230.95,24426.15,24210.8,24406.1,0,0,,,,0.8133271418620666,,,,,,,,,,,,,23557.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24504.25,24307.25
2024-07-24 00:00:00+05:30,24444.95,24504.25,24307.25,24413.5,0,0,,,,-0.1596446700507651,,,,,,,,,,,,,23465.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24582.55,24074.2
2024-07-23 00:00:00+05:30,24568.9,24582.55,24074.2,24479.05,0,0,,,,-0.1767483033343217,,,,,,,,,,,,,23398.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24595.2,24362.3
2024-07-22 00:00:00+05:30,24445.75,24595.2,24362.3,24509.25,0,0,,,,0.2726492056676668,,,,,,,,,,,,,23322.95,,24844.61699922643,24528.55,24212.48300077357,,,,,,,,,,,,,,,,,,,,,,,,,24854.8,24508.15
2024-07-19 00:00:00+05:30,24853.8,24854.8,24508.15,24530.9,0,0,,,,-0.9314870907255152,,,,,,,,,,,,,23264.85,,24568.086056436005,24467.76,24367.433943563992,,,,,,,,,,,,,,,,,,,,,,,,,24837.75,24504.45
2024-07-18 00:00:00+05:30,24543.8,24837.75,24504.45,24800.85,0,0,,,,0.7712271227122707,,,,,,,,,,,,,23259.2,,24812.887575313925,24546.71,24280.532424686073,,,,,,,,,,,,,,,,,,,,,,,,,24661.25,24587.65
2024-07-16 00:00:00+05:30,24615.9,24661.25,24587.65,24613.0,0,0,,,,-0.039402173913064026,,,,,,,,,,,,,23290.15,,24818.562645167072,24586.61,24354.65735483293,,,,,,,,,,,,,,,,,,,,,,,,,24635.05,24522.75
2024-07-15 00:00:00+05:30,24587.6,24635.05,24522.75,24586.7,0,0,,,,-0.008014247551182753,,,,,,,,,,,24467.675000000003,,22821.4,,24814.76175490495,24608.14,24401.51824509505,,,,,173.72999999999956,,,,,,,,,,,,,,,,,,0.0,,24592.2,24331.15
2024-07-12 00:00:00+05:30,24387.95,24592.2,24331.15,24502.15,0,0,,,,0.43746408733959413,,,,,24567.635000000002,,,,,,24464.5,,22620.35,0.0,24816.11962368639,24606.72,24397.32037631361,,,,,128.6974999999984,,,,,,,,,,,,24567.635000000002,24569.94818181818,,,,,-0.06974925302967412,0.0,24402.65,24193.75
2024-07-11 00:00:00+05:30,24396.55,24402.65,24193.75,24315.95,0,0,,,,-0.38583054092866437,,,,,24521.874090909092,,,,,,24464.5,,21884.5,2237.1964651975227,24879.157421762917,24563.730000000003,24248.30257823709,,,,,-30.637500000000728,,,,,-518.8999999999978,,-2.0894025935328697,24557.55555555555,,,,24515.745,24524.187272727275,,,,,-0.43103210813885073,-0.06974925302967412,24461.05,24141.8
